Id,Sales
1,5001.26926871
857,5115.29502457
1713,5250.5033732
2569,5715.76619404
4281,4950.45860166
5137,4089.50012143
5993,3789.25621551
6849,3903.28197136
7705,4038.49031999
8561,4503.75314084
10273,4981.74716972
11129,5427.00350418
11985,5126.75959825
12841,5240.78535411
13697,5375.99370274
14553,5702.69286505
16265,4937.38527267
17121,4076.42679244
17977,3776.18288651
18833,3890.20864237
19689,4025.416991
20545,4490.67981184
22257,4968.67384072
23113,5351.01698175
23969,5050.77307583
24825,5164.79883169
25681,5300.00718032
26537,5765.27000116
28249,4999.96240878
29105,4139.00392855
29961,3838.76002263
30817,3952.78577848
31673,4087.99412712
32529,4553.25694796
34241,5031.25097684
35097,5413.59411787
35953,5113.35021194
36809,5227.3759678
37665,5362.58431643
38521,5827.84713727
40233,5062.53954489
2,8264.79588853
858,8497.21252413
1714,9006.47604966
2570,9633.117023
4282,4486.62608524
5138,5583.83937881
5994,5251.65021604
6850,5484.06685164
7706,5993.33037717
8562,6619.9713505
10274,4520.19452886
11130,8664.12193855
11986,8331.93277579
12842,8564.34941139
13698,9073.61293692
14554,9551.5936599
16266,4405.10272214
17122,5502.31601572
17978,5170.12685295
18834,5402.54348855
19690,5911.80701408
20546,6538.44798741
22258,4438.67116577
23114,8582.59857546
23970,8250.40941269
24826,8482.82604829
25682,8992.08957382
26538,9618.73054716
28250,4472.2396094
29106,5569.45290297
29962,5237.2637402
30818,5469.6803758
31674,6162.35927371
32530,6789.00024704
34242,4505.80805302
35098,8833.15083509
35954,8500.96167233
36810,8733.37830793
37666,9242.64183346
38522,9869.28280679
40234,4539.37649665
3,9410.30792402
859,9350.63015723
1715,10707.9326948
2571,11640.4241004
4283,6199.38881316
5139,7711.46570234
5995,6919.40812582
6851,6859.73035903
7707,8217.03289659
8563,9149.52430223
10275,6260.05226523
11131,10323.6924047
11987,9531.63482815
12843,9471.95706136
13699,10829.2595989
14555,11493.098574
16267,6052.06328672
17123,8833.50315724
17979,8041.44558073
18835,7981.76781394
19691,9339.0703515
20547,10271.5617571
22259,6112.72673878
23115,11445.7298596
23971,10653.6722831
24827,10593.9945163
25683,11951.2970538
26539,12883.7884595
28251,6173.39019085
29107,8954.83006138
29963,8162.77248486
30819,8103.09471807
31675,9460.39725563
32531,10392.8886613
34243,6234.05364291
35099,11567.0567637
35955,10774.9991872
36811,10715.3214204
37667,12072.623958
38523,13005.1153636
40235,6294.71709498
4,7364.74026453
860,6613.4438475
1716,7252.27585902
2572,8062.8512093
4284,3000.32903646
5140,4045.05230887
5996,5104.88022535
6852,4353.58380832
7708,4992.41581985
8564,5802.99117012
10276,3000.51013568
11132,6305.27454648
11988,7365.10246295
12844,6613.80604592
13700,7252.63805745
14556,8062.41139692
16268,2999.88922409
17124,3952.02773606
17980,5011.85565254
18836,4260.55923551
19692,4899.39124704
20548,5709.96659732
22260,3000.0703233
23116,6212.24997367
23972,7272.07789014
24828,6520.78147312
25684,7159.61348464
26540,7970.18883492
28252,3000.25142251
29108,3952.38993449
29964,5012.21785097
30820,4260.92143394
31676,4899.75344547
32532,5710.32879574
34244,3000.43252173
35100,6212.61217209
35956,7272.44008857
36812,6521.14367154
37668,7159.97568307
38524,7970.55103335
40236,3000.61362094
5,6955.07693753
861,6997.8171415
1717,7420.51018907
2573,8761.20112698
4285,6088.48009919
5141,5455.09699774
5997,5023.70096961
6853,5066.44117358
7709,5489.13422115
8565,6829.82515906
10277,6128.62317918
11133,7466.75912562
11989,7035.36309749
12845,7078.10330146
13701,7500.79634903
14557,8663.71078988
16269,5990.9897621
17125,5357.60666064
17981,4926.21063251
18837,4968.95083648
19693,5391.64388405
20549,6732.33482196
22261,6031.13284208
23117,7369.26878852
23973,6937.87276039
24829,6980.61296436
25685,7403.30601193
26541,8743.99694984
28253,6071.27592206
29109,5437.8928206
29965,5006.49679247
30821,5049.23699644
31677,5734.12399635
32533,7074.81493426
34245,6111.41900204
35101,7711.74890082
35957,7280.35287269
36813,7323.09307666
37669,7745.78612423
38525,9086.47706214
40237,6151.56208202
6,5922.95988253
862,5944.72701849
1718,6386.22430557
2574,7137.15069644
4286,4850.67752993
5142,4982.26737335
5998,4667.01735067
6854,4688.78448662
7710,5130.28177371
8566,5881.20816457
10278,4859.87119732
11134,6256.59723999
11990,5941.3472173
12846,5853.6953443
13702,6295.19263138
14558,7005.40420954
16270,4718.93104303
17126,4850.52088645
17982,4535.27086376
18838,4557.03799972
19694,4998.5352868
20550,5749.46167767
22262,4728.12471042
23118,6124.85075309
23974,5809.6007304
24830,5831.36786636
25686,6272.86515344
26542,7023.79154431
28254,4737.3183778
29110,4868.90822122
29966,4553.65819853
30822,4575.42533449
31678,5016.92262158
32534,5767.84901244
34246,4746.51204519
35102,6143.23808786
35958,5827.98806517
36814,5849.75520113
37670,6291.25248821
38526,7042.17887908
40238,4755.70571258
7,8674.28468978
863,9266.64570588
1719,9103.76210018
2575,9940.13339456
4287,6495.72492122
5143,6875.34408985
5999,6804.71288299
6855,7397.07389909
7711,7234.19029339
8567,8070.56158777
10279,6534.39285818
11135,8822.25177056
11991,8751.6205637
12847,9343.9815798
13703,9181.0979741
14559,9846.22554765
16271,6401.81707431
17127,7123.76643256
17983,7053.1352257
18839,7645.4962418
19695,7482.61263611
20551,8318.98393048
22263,6440.48501127
23119,9070.67411327
23975,9000.04290641
24831,9592.40392251
25687,9429.52031682
26543,10265.8916112
28255,6479.15294823
29111,7201.10230648
29967,7130.47109963
30823,7722.83211573
31679,7559.94851003
32535,8396.31980441
34247,6517.8208852
35103,9148.00998719
35959,9077.37878034
36815,9669.73979644
37671,9506.85619074
38527,10343.2274851
40239,6556.48882216
8,8743.09985929
864,8994.64330363
1720,9257.86243193
2576,10513.6740186
4288,6340.0656768
5144,5561.14412622
6000,5477.47923494
6856,5729.02267928
7712,5992.24180758
8568,7248.05339428
10280,6258.95422393
11136,8664.54184481
11992,8580.87695353
12848,8832.42039787
13704,9095.63952617
14560,10710.6589756
16272,6537.0506338
17128,5890.82264511
17984,5807.15775383
18840,6058.70119816
19696,6321.92032647
20552,7577.73191317
22264,6455.93918092
23120,8994.2203637
23976,8910.55547242
24832,9162.09891676
25688,9425.31804506
26544,10681.1296318
28256,6374.82772804
29112,5728.59973935
29968,5644.93484807
30824,5896.47829241
31680,6159.69742071
32536,7415.50900741
34248,6293.71627516
35104,8831.99745794
35960,8748.33256666
36816,8999.876011
37672,9263.0951393
38528,10518.906726
40240,6212.60482228
9,5932.28581118
865,6175.0701927
1721,6204.75179895
2577,7464.97880836
4289,4489.46684186
5145,3986.85257419
6001,3390.35071251
6857,3633.13509403
7713,3662.81670028
8569,4501.4658432
10281,4378.63212761
11137,6728.69611085
11993,6132.19424917
12849,6374.97863069
13705,6404.66023694
14561,7734.14882868
16273,4758.63686218
17129,4256.02259451
17985,3659.52073283
18841,3902.30511435
19697,3931.9867206
20553,4770.63586352
22265,4647.80214793
23121,6997.86613117
23977,6401.36426949
24833,6644.14865101
25689,6673.83025726
26545,7512.47940018
29113,4034.35316601
29969,3437.85130433
30825,3680.63568585
31681,3710.3172921
32537,4548.96643502
35105,6776.19670267
35961,6179.69484099
36817,6422.47922251
37673,6452.16082877
38529,7290.80997168
40241,4315.29800518
10,6333.88977629
866,6282.39651839
1722,6740.36846895
2578,7612.46431684
4290,3503.89133977
5146,4924.19570873
6002,4624.8814797
6858,4573.3882218
7714,5031.36017236
8570,5903.45602025
10282,3480.63764021
11138,6586.6966062
11994,6287.38237717
12850,6235.88911927
13706,6693.86106983
14562,7668.9375872
16274,3560.36461013
17130,4980.66897909
17986,4681.35475005
18842,4629.86149216
19698,5087.83344272
20554,5959.92929061
22266,3537.11091057
23122,6643.16987656
23978,6343.85564753
24834,6292.36238963
25690,6750.33434019
26546,7622.43018808
28258,3513.85721101
29114,4934.16157997
29970,4634.84735094
30826,4583.35409304
31682,4922.08059467
32538,5794.17644255
34250,3490.60351145
35106,6477.41702851
35962,6178.10279947
36818,6126.60954158
37674,6584.58149214
38530,7456.67734003
40242,3467.34981189
11,7529.78392916
867,7361.30111037
1723,7659.043122
2579,8647.1844264
4291,5718.8423474
5147,5771.21096635
6003,5177.27295059
6859,5008.7901318
7715,5306.53214343
8571,6294.67344783
10283,5638.54812184
11139,7963.13349379
11995,7369.19547803
12851,7200.71265924
13707,7498.45467087
